timepoint,mean_asd,std_asd,mean_tdc,std_tdc,is_top_asd,is_top_tdc
310,7.2450284e-06,2.357302e-07,6.8434006e-06,8.763371e-07,False,False
311,7.2806715e-06,3.7089742e-07,7.284101e-06,7.357689e-07,False,True
312,7.405506e-06,4.7109432e-07,7.151409e-06,7.5568954e-07,False,False
313,7.2365992e-06,8.879987e-07,7.1356217e-06,9.216929e-07,False,False
314,7.198397e-06,4.4530205e-07,6.9590014e-06,9.0807924e-07,False,False
315,7.031592e-06,3.7089026e-07,6.880569e-06,1.0350099e-06,False,False
316,7.3138704e-06,6.983201e-07,6.8452027e-06,1.1185408e-06,False,False
317,6.9435273e-06,1.9482033e-07,7.2087723e-06,9.723789e-07,False,True
318,7.117416e-06,4.5745935e-07,6.893793e-06,9.424396e-07,False,False
319,7.5505095e-06,4.4831e-07,6.896579e-06,9.2344783e-07,True,False
320,7.102455e-06,6.5961564e-07,7.138554e-06,7.2433215e-07,False,False
321,7.271029e-06,2.0347036e-07,7.193863e-06,9.949965e-07,False,False
322,7.204771e-06,4.2597247e-07,6.88613e-06,5.9096266e-07,False,False
323,7.1713803e-06,2.5583773e-07,6.7011433e-06,7.0872704e-07,False,False
324,7.2452544e-06,6.577153e-07,6.93403e-06,8.2429744e-07,False,False
325,7.594842e-06,4.2333988e-07,7.0442547e-06,7.044944e-07,True,False
326,7.558882e-06,2.9834857e-07,6.9011257e-06,1.0032521e-06,True,False
327,7.575322e-06,6.431708e-07,7.053825e-06,8.4943554e-07,True,False
328,7.248843e-06,2.4930736e-07,6.664406e-06,7.196481e-07,False,False
329,7.099826e-06,4.628625e-07,7.2032535e-06,9.743338e-07,False,False
330,7.0262226e-06,2.63071e-07,6.7577625e-06,7.379854e-07,False,False
331,7.0749184e-06,4.6032662e-07,6.737071e-06,9.269378e-07,False,False
332,7.162321e-06,9.0016584e-07,7.1819995e-06,9.010604e-07,False,False
333,7.0594133e-06,3.504548e-07,6.7335886e-06,8.450867e-07,False,False
334,7.3033852e-06,6.338076e-07,6.963653e-06,9.439357e-07,False,False
335,7.2772355e-06,4.5500158e-07,6.7664673e-06,7.853311e-07,False,False
336,7.3901733e-06,3.3043014e-07,6.9901557e-06,9.548953e-07,False,False
337,7.1618842e-06,4.5461823e-07,6.772235e-06,8.0964645e-07,False,False
338,7.373487e-06,2.8910952e-07,6.858723e-06,5.8033584e-07,False,False
339,7.805099e-06,6.740734e-07,7.1545232e-06,8.668683e-07,True,False
340,7.0409833e-06,5.638821e-07,7.2502794e-06,9.87839e-07,False,True
341,7.244283e-06,5.430238e-07,7.0903743e-06,9.515701e-07,False,False
